backcross_non_II,current_rob_non_II,anc_rob_non_II,non_II_t0,non_II_t1,backcross_II,other_back_II,self_back_II,current_freq,current_rob_II,anc_rob_II,II_t0,II_t1,N,r,stp,Ne,Sim
0.94,0.857,0.744,3,33,0.94,0.12,0.86,0.54,0.843,0.814,48,128,100,0.01,0,36.556,0
0.98,0.707,0.72,11,42,0.94,0.35,0.83,0.52,0.702,0.68,26,104,100,0.01,0,52.194,1
0.85,0.621,0.653,14,72,0.85,0.15,0.91,0.58,0.638,0.653,14,60,100,0.01,0,39.88,2
1.0,0.825,0.887,3,50,1.0,0.48,1.0,1.0,0.8,0.872,61,219,100,0.01,0,59.888,3
1.0,0.845,0.857,3,47,1.0,0.35,0.99,0.54,0.879,0.876,165,205,100,0.01,0,42.846,4
0.8,0.661,0.688,34,63,0.3,0.06,0.73,0.51,0.711,0.665,160,180,100,0.01,0,76.706,5
1.0,0.683,0.758,98,116,1.0,0.15,0.99,0.51,0.736,0.716,197,265,100,0.01,0,101.8,6
0.19,0.425,0.33,37,77,0.97,0.43,1.0,1.0,0.689,0.313,32,264,100,0.01,0,51.1,7
0.63,0.708,0.701,48,71,0.95,0.14,0.89,0.52,0.706,0.75,191,214,100,0.01,0,43.72,8
0.99,0.616,0.584,24,59,0.68,0.32,0.69,0.51,0.59,0.662,102,142,100,0.01,0,49.207,9
1.0,0.703,0.75,21,49,1.0,0.44,1.0,0.99,0.788,0.75,21,213,100,0.01,0,52.517,10
0.97,0.684,0.712,13,45,0.97,0.48,1.0,0.51,0.7,0.712,13,51,100,0.01,0,64.248,11
0.93,0.77,0.799,6,69,0.91,0.49,0.97,0.66,0.69,0.783,5,84,100,0.01,0,30.53,12
1.0,0.59,0.563,5,22,0.96,0.44,0.94,0.5,0.538,0.649,36,85,100,0.01,0,80.488,13
1.0,0.872,0.795,34,96,0.95,0.46,1.0,0.67,0.862,0.814,115,226,100,0.01,0,164.676,14
0.75,0.661,0.675,45,69,1.0,0.42,0.89,0.51,0.599,0.692,64,115,100,0.01,0,45.503,15
1.0,0.57,0.514,22,97,0.94,0.47,1.0,1.0,0.685,0.559,89,322,100,0.01,0,90.521,16
1.0,0.694,0.631,11,53,0.74,0.49,0.99,0.57,0.51,0.504,131,173,100,0.01,0,36.01,17
0.99,0.797,0.744,13,58,0.67,0.46,1.0,0.55,0.676,0.722,33,108,100,0.01,0,58.383,18
0.85,0.793,0.765,1,57,0.85,0.49,0.99,0.52,0.815,0.765,1,29,100,0.01,0,201.83,19
1.0,0.828,0.785,1,47,0.63,0.12,0.96,0.5,0.604,0.807,58,94,100,0.01,0,89.559,20
1.0,0.756,0.78,22,51,0.24,0.49,0.87,0.5,0.797,0.79,92,137,100,0.01,0,60.742,21
1.0,0.657,0.645,3,45,0.33,0.17,0.81,0.5,0.654,0.674,30,76,100,0.01,0,51.123,22
1.0,0.803,0.689,24,58,0.72,0.29,0.88,0.51,0.758,0.697,5,38,100,0.01,0,31.418,23
0.85,0.783,0.766,21,42,0.49,0.13,0.89,0.58,0.705,0.732,55,97,100,0.01,0,44.002,24
0.95,0.647,0.635,41,75,0.87,0.46,1.0,0.99,0.618,0.623,60,240,100,0.01,0,60.517,25
0.98,0.805,0.774,44,95,0.61,0.27,0.77,0.5,0.768,0.717,23,83,100,0.01,0,58.015,26
0.98,0.467,0.539,44,62,0.7,0.46,0.94,0.92,0.397,0.507,20,84,100,0.01,0,114.221,27
0.98,0.724,0.764,2,49,0.82,0.24,1.0,0.51,0.778,0.789,216,267,100,0.01,0,65.04,28
0.82,0.813,0.812,11,34,0.88,0.44,1.0,1.0,0.879,0.849,60,133,100,0.01,0,33.0,29
0.95,0.65,0.654,12,36,0.75,0.05,0.94,0.53,0.644,0.623,93,121,100,0.01,0,167.05,30
1.0,0.718,0.734,83,126,0.96,0.13,0.85,0.5,0.514,0.73,227,282,100,0.01,0,56.466,31
1.0,0.699,0.536,4,79,0.97,0.46,0.84,0.53,0.577,0.702,66,106,100,0.01,0,37.171,32
1.0,0.585,0.543,13,45,0.19,0.15,0.79,0.55,0.596,0.56,78,128,100,0.01,0,70.245,33
1.0,0.716,0.659,40,96,0.26,0.22,0.52,0.51,0.67,0.715,116,167,100,0.01,0,157.238,34
0.63,0.547,0.635,15,39,0.63,0.47,0.71,0.51,0.565,0.635,15,35,100,0.01,0,62.099,35
0.92,0.78,0.73,42,63,0.92,0.42,0.87,0.51,0.763,0.803,201,253,100,0.01,0,36.818,36
1.0,0.501,0.572,28,50,0.52,0.48,0.8,0.6,0.501,0.585,11,50,100,0.01,0,49.362,37
0.9,0.902,0.944,2,38,0.85,0.47,0.78,0.52,0.763,0.895,64,101,100,0.01,0,44.516,38
0.76,0.764,0.821,21,61,0.61,0.07,0.97,0.54,0.741,0.756,1,64,100,0.01,0,31.522,39
1.0,0.624,0.579,16,41,0.91,0.17,1.0,0.52,0.662,0.604,22,126,100,0.01,0,38.971,40
